Entity ID,Entity Name,Plant ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Planned Operation Month,Planned Operation Year,Status,Latitude,Longitude
62856,"Forefront Power, LLC",65523,CA-DGS-California Men's Colony,Map,Map,CA,San Luis Obispo,CISO,IPP Non-CHP,14057,,2.2,2.2,2.2,Solar Photovoltaic,SUN,PV,3,2023,"(U) Under construction, less than or equal to 50 percent complete",35.32554,-120.6935
59573,Amazon,65562,Amazon Bakersfield 1 Solar Project,Map,Map,CA,Kern,CISO,IPP Non-CHP,ABFSP,,4.3,4.2,1.6,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",35.446616,-119.0509
59573,Amazon,65562,Amazon Bakersfield 1 Solar Project,Map,Map,CA,Kern,CISO,IPP Non-CHP,ABSBA,,1.6,1.6,1.6,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",35.446616,-119.0509
64915,"SR McKellar, LLC",65629,SR McKellar,Map,Map,TN,Madison,TVA,IPP Non-CHP,SRMCK,,70,70,70,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",35.574169,-88.92661
64916,"SR Bell Buckle, LLC",65630,SR Bell Buckle,Map,Map,TN,Bedford,TVA,IPP Non-CHP,SRBEL,,35,35,35,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",35.57,-86.46
20856,Wisconsin Power & Light Co,65633,Boaz Microgrid Battery,Map,Map,WI,Richland,MISO,Electric Utility,BESS1,,3.6,0.3,0.2,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",43.310598,-90.53274
63289,Key Capture Energy,65699,TX19 River Valley Storage 1,Map,Map,TX,Williamson,ERCO,IPP Non-CHP,TX19,,50,50,50,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",30.41477,-97.35701
63289,Key Capture Energy,65700,TX21 River Valley Storage 2,Map,Map,TX,Williamson,ERCO,IPP Non-CHP,TX21,,50,50,50,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",30.41432,-97.35518
64998,"Deerfield Wind Energy 2, LLC",65742,Deerfield Wind Energy 2,Map,Map,MI,Huron,MISO,IPP Non-CHP,DWF02,,112.1,112.1,112.1,Onshore Wind Turbine,WND,WT,3,2023,"(V) Under construction, more than 50 percent complete",43.928665,-82.87351
65044,"Castle Gap Wind Power, LLC",65790,Castle Gap Wind,Map,Map,TX,Mills,ERCO,IPP Non-CHP,CGWIN,,196.8,196.8,196.8,Onshore Wind Turbine,WND,WT,3,2023,"(U) Under construction, less than or equal to 50 percent complete",31.39376,-98.35936
65055,"Concho Valley Solar, LLC",65793,"Concho Valley Solar, LLC",Map,Map,TX,Tom Green,ERCO,IPP Non-CHP,CVS,,172.8,159.8,159.8,Solar Photovoltaic,SUN,PV,3,2023,"(TS) Construction complete, but not yet in commercial operation",31.214,-100.255
65058,SV CSG Baileyville 1 LLC,65796,SV CSG Baileyville 1 LLC,Map,Map,IL,Stephenson,PJM,IPP Non-CHP,BAIL1,,2,1.6,0.9,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",42.201229,-89.60881
65054,Easton CSG 1 LLC,65798,Easton CSG 1 LLC,Map,Map,ME,Aroostook,ISNE,IPP Non-CHP,ESTON,,3.3,1.3,0.6,Solar Photovoltaic,SUN,PV,3,2023,"(TS) Construction complete, but not yet in commercial operation",46.643254,-67.90871
65077,SV CSG Baileyville 2 LLC,65890,SV CSG Baileyville 2 LLC,Map,Map,IL,Stephenson,PJM,IPP Non-CHP,BAIL2,,2,1.6,0.9,Solar Photovoltaic,SUN,PV,3,2023,"(TS) Construction complete, but not yet in commercial operation",42.201355,-89.61099
65120,Kearsarge Smithfield LLC,65949,Kearsarge Smithfield LLC,Map,Map,RI,Providence,ISNE,IPP Non-CHP,SMITH,,8,8,8,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",41.93139,-71.57895
65129,VESI 21 LLC,65951,Bowling Green Energy Storage Project,Map,Map,OH,Wood,PJM,IPP Non-CHP,BG1,,12,12,12,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",41.382589,-83.61123
